,Company_Brand,Sector,Stage,Amount($),HeadQuarter,Year
224,Drivezy,Transport,Debt,100000000.0,Bangalore,2018
225,Freyr Energy,Energy,Series A,1500000.0,Hyderabad,2018
226,NIRAMAI Health Analytix,Hospitality,Pre-series A,6000000.0,Bangalore,2018
227,CloudSek,Technology,Pre-series A,2058000.0,Bangalore,2018
228,Lendbox,Finance,Pre-series A,882000.0,New Delhi,2018
229,Verloop,Hospitality,Series A,3000000.0,Bangalore,2018
230,Paymatrix,Finance,Pre-series A,100000.0,Hyderabad,2018
231,Idha Skin Clinic,Beauty & Fashion,Pre-series A,73500.0,Bangalore,2018
232,InCred,Finance,Equity,41900000.0,Mumbai,2018
233,Vedantu,Education,Series B,11000000.0,Bangalore,2018
234,Stelis Biopharma,Health,Series B,100000000.0,Bangalore,2018
235,Magicpin,Commerce,Series C,20727000.0,Gurgaon,2018
236,Mech Mocha,Sports,Series B,3530000.0,Bangalore,2018
237,Aye Finance,Finance,Debt,1058400.0,Gurgaon,2018
238,Aldopay,Finance,Pre-series A,200000.0,Chennai,2018
239,Detect Technologies,Energy,Series A,3300000.0,Chennai,2018
240,Signzy,Finance,Series A,3528000.0,Bangalore,2018
241,CashRich,Finance,Pre-series A,1000000.0,Mumbai,2018
242,CropIn Technologies,Agriculture,Series B,8526000.0,Bangalore,2018
243,Yaantra,Business Intelligence,Debt,2000000.0,New Delhi,2018
244,TECHBOOZE,Education,Pre-series A,100000.0,New Delhi,2018
245,HealthifyMe,LifeStyle,Series B,6000000.0,Bangalore,2018
246,hoi foods,Food & Beverages,Pre-series A,529200.0,Gurgaon,2018
247,Perpule,Finance,Series A,4998000.0,Bangalore,2018
248,Royal Sundaram General Insurance Co. Limited,Finance,Corporate Round,210000000.0,Chennai,2018
249,CleanseCar,Transport,Angel Round,514500.0,Bangalore,2018
250,Spinny,Commerce,Series A,11000000.0,Gurgaon,2018
251,Med365 Healthcare,Health,Pre-series A,735000.0,Jaipur,2018
252,Dunzo,Hospitality,Debt,1029000.0,Bangalore,2018
253,Mobile Premier League (MPL),Sports,Series A,5000000.0,Bangalore,2018
